label,message,,,
spam,Job is knocking @ Ur door.Hurry up & don¿t miss this great opportunity. Call-9333075338/9333075332 www.cyberjob.in-Sent 4rm 160by2.com,,,
spam,"Only 1 day left for SAWAN KI BAHAR compt. for Agents/DOs/CLIAs. Qualify the competition and win maximum prizes...SDM
",,,
spam,"Crisp Or Chilled?,Refresh your taste buds with healthy and delicious fruit recipes! Choose the one you want to try:
1) Strawberry Crisp
2) Chilled Oranges
^1/2",,,
ham,"If i giv u a Tshirt & ask u 2 rite on it a TAG LINE 4 me as per my nature,wat wud u rite?Send dis 2 all ur frnds n colect tag lyns suitin u.But first rep.. 
",,,
ham,"Which unreplied msg . And this week end we may go out . Pallab and piyush r makin some plans it seems  
",,,
spam,"It’s Never Too Late!,Want to know the age of the world’s oldest newlyweds? ^Yes/No
Your replies to Blyk on Aircel are always free.
",,,
ham,"If anytime ur life is like a candle in the wind,then ill put my hands around u...... so dat all burns are mine & all light is yours...its a promise.
",,,
ham,"In a battle, a soldier prepared to bring his wounded friend back from the field. His Captian said,  Its of No use! ur friend must be dead. But soldier still goes &  brings back his friend. Seeing the dead body, Captain says I told you its of no worth. He's dead. The soldier replies.... No sir, it was really of worth. When I got to him, my friend saw me, smiled & said his last words.  I KNEW U'll COME. . 
",,,
ham,"In japan_ Chin cha chu In south africa_ Hula hula hu In china_ Chin pang pu In Hawai_ Hu Lu Lu . . . In india_ Pagal hai tu! 
",,,
spam,"Weekend Getaways...,Weekend getaways! Choose your destination by choosing the part of India you live in… 
1)	North 
2)	South 
3)	East 
4)	West
5)	Center
^1/2/3/4/5
All your replies to Blyk on Aircel are free.",,,
ham,"In ThE c0oKiE oF LiFe, FriEnDs ArE tHe ChOcOLaTe ChiPs ThAt MaKe LiFe SwEeT, sUrPriSiNg & YuMmY..tHaNk u fOr BeiNg ThE YuMmY cHoCO cHiP oF mY LIFE.Good night:-)
",,,
ham,"IIT-JEE Exam has been postponed to 12th May, 2009. For further details, log on to the site.... www.may-me-kaun-se-jhande-gaad-lAn army officer married & discovers on d 1st nite tht his wife is havng periods, He sends emergency letter to general Red alert at front, extend leav oge.com all the best for tomgeneral replies-attack frm back & report 
",,,
spam,"RituWears brings Rakhi Special Offers,  flat 50% off on Home section and many Apparels,  DINNER SET 28 pcs Rs.999/- only,  Offers valid till 24/8/10. T&C apply.",,,
spam,"Bravo to Lara,Is Darren Bravo the new Brian Lara? ^Yes/ No
Reply within 24 hrs to get a
video FREE from Blyk on Aircel.
",,,
ham,"IITian's luv letter- My dear luv, yesterday, I was passing by ur rectangular house in trigonometric lane. Der I saw u wit ur cute circular face, conical A couple went 2 a sex therapist & askd, Will u watch us hvng sex? The dr. lukd puzld but agreed. Whn d cupl finishd, dr. said, Thr's nthng wrng wtnose, & spherical eyes in ur triangular garden.B4 seeing u my heart was a null set, but wen a vector of magnitude 4m ur eyes at deviation of theta radianh ur intrcourse, & chrgd 300.. Dis hpnd 4 many weeks.. Finali d dr. askd, Wats exctly ur prblm? Man said: She's married, i'm married, so made a tangent to my heart it differentiated. My luv 4u is a quardratic equation with real root which only u can solve by making it a simple equation v cnt use our houses, Oberoi is 9,500 nd taj is 9,000. Bt, here v pay 300, & get 250 frm mediclaim! -Thts tax planning. 
",,,
ham,"I m in a meeting
",,,
spam,"MORE VALUE WITH EXTENDED VALIDITY ON RC55! Get Rs65 TT + all loc/Std calls @ 1p/Sec on Recharge of Rs55, Valid for 10 days.Stay connected with AIRCEL.
",,,
spam,RESIDENTIAL PLOTS @ 15 LACS onwards -on Yamuna X-Way NOIDA -Near Formula 1 Racing Track & Night Safari -Interst Free Instalmnts SMS INV to 56677,,,
spam,RIVER VIEW VILLAS&LUXURIOUS 1/2/3 BHK APPRTMNTS WID WORLD CLASS AMMENITIES IN HERITAGE AREA OF NORTH GOA.READY TO MOVE IN. Sms BIL to 54545 WWW.BULLIONLTD.COM,,,
